year,nicu,name,addr,city_state_zip,level,beds,neonatologists,refer
1996,60,CENTINELA HOSPITAL MEDICAL CENTER,555 E. Hardy St.,"Inglewood, CA 90307",,10,2,
1996,61,DANIEL FREEMAN MEMORIAL HOSPITAL,333 N. Prarie Ave.,"Inglewood, CA 90301",,8,2,
1996,62,IRVINE MEDICAL CENTER,16200 Sand Canyon Ave.,"Irvine, CA 92718",,16,2,Refer to Children’s Hospital of Orange County
1996,63,GROSSMONT HOSPITAL,5555 Grossmont Center Dr.,"La Mesa, CA 91942",,24,1,
1996,64,SADDLEBACK MEMORIAL MEDICAL CENTER,24451 Health Center Dr.,"Laguna Hills, CA 92653",,19,5,
1996,65,ANTELOPE VALLEY HOSPITAL MEDICAL CENTER,"1600 W. Avenue ""J""","Lancaster, CA 93534",,27,2,
1996,66,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,"Department of Pediatrics
11262 Campus St., WH135","Loma Linda, CA 92354",,72,11,
1996,67,LONG BEACH COMMUNITY HOSPITAL,1720 Termino Ave.,"Long Beach, CA 90804",,20,8,
1996,68,LONG BEAGH MEMORIAL MEDICAL CENTER,"P.O. Box 1428
2801 Atlanta Ave.","Long Beach, CA 90861-1428",,70,5,
1996,69,ST. MARY MEDICAL CENTER,1050 Linden Ave.,"Long Beach, CA 90913",,25,5,
1996,70,CALIFORNIA MEDICAL CENTER,1401 S. Grand Ave.,"Los Angeles, CA 90015",,26,4,
1996,71,CEDARS-SINAI MEDICAL CENTER,"8700 Beverly, #4310","Los Angeles, CA 90048",,32,7,
1996,72,CHILDREN'S HOSPITAL OF LOS ANGELES,"4650 Sunset Blvd, Box 83","Los Angeles, CA 90027",,37,4,
1996,73,HOSPITAL OF THE GOOD SAMARITAN,616 S. Witmer St.,"Los Angeles, CA 90017",,18,4,
1996,74,KAISER PERMANENTE MEDICAL CENTER - LOS ANGELES,4867 Sunset Blyd.,"Los Angeles, CA 90027",,40,6,
1996,75,KAISER PERMANENTE MEDICAL CENTER - WEST L.A.,6041 Cadillac Ave.,"Los Angeles, CA 90034",,9,3,
1996,76,LAC + USC MEDICAL CENTER WOMEN'S & CHILDREN'S HOSP,"4240 N, Mission, Rm, L919","Los Angeles, CA 90033",,50,14,
1996,77,LAG-KING-DREW MEDICAL CENTER,12021 S. Wilmington Ave.,"Los Angeles, CA 90059",,42,5,
1996,78,UCLA MEDICAL CENTER,10833 Le Conte Ave.,"Los Angelos, CA 90095-1752",,24,5,
1996,79,WHITE MEMORIAL MEDICAL CENTER,1720 Cesar Chavez Blvd.,"Los Angeles, CA 90033",,30,3,
1996,80,ST. FRANCIS MEDICAL CENTER,3630 E. Imperial Hwy,"Lynwood, CA 90262",,20,2,
1996,81,CHILDREN'S HOSPITAL AT MISSION,27700 Medical Center Dr.,Mission Viele. CA 92691,,16,3,
1996,82,DOCTORS MEDICAL CENTER,1441 Florida Ave.,"Modesto, CA 95350",,30,2,
1996,83,BEVERLY HOSPITAL,309 W. Beverly Blvd.,"Montebello, CA 90640",,4,2,
1996,84,GARFIELD MEDICAL CENTER,525 N. Garfield Ave.,"Monterey Park, CA 91754",,14,4,
1996,85,EL CAMINO HOSPITAL,2500 Grant Rd.,"Mountain View, CA 94040",,NA,NA,Neonatologists:Refer to Lucile Satter Packard Children's Hospital
1996,86,HOAG MEMORIAL. HOSPITAL V PRESBYTERIAN,301 Newport Blvd.,"Newport Beach, CA 92663",,12,2,
1996,87,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 Roscoe Blvd.,"Northridge, CA 91328",,22,3,
1996,88,CHILDREN'S HOSPITAL OAKLAND,747 - 52nd St.,"Oakland, CA 94609",,47,21,
1996,89,HIGHLAND GENERAL HOSPITAL,1441 E. 31st St.,"Oakland, CA 94602",,8,1,
1996,90,KAISER PERMANENTE MEDICAL CENTER - OAKLAND,280 W. Mac Arthur Blvd.,"Oakland, CA 94611",,29,3,
1996,91,SUMMIT MEDICAL CENTER,350 Hawthorne Ave.,"Oakland, CA 94609",,20,1,
1996,92,TRI-CITY MEDICAL CENTER,4002 Vista Way,"Oceanside, CA 92056",,20,3,
1996,93,CHILDREN'S HOSPITAL OF ORANGE COUNTY,455 S. Main St.,"Orange, CA 92668",,32,8,
1996,94,ST. JOSEPH HOSPITAL,1100 W. Stewart Dr.,"Orange, CA 92668",,15,NA,Refer to Children's Hospital of Orange County
1996,95,UC IRVINE MEDICAL CENTER,101 The City Drive,"Orange, CA 92668",,36,7,
1996,96,ST. JOHN'S REGIONAL MEDICAL CENTER,1600 N. Rose Ave.,"Oxnard, CA 93030",,8,4,
1996,97,DESERT HOSPITAL,1150 N. Indian Canyon Dr.,Palm Springs. CA 92262,,30,3,
1996,98,LUCILE SALTER PACKARD CHIDREN'S HOSPITAL,"725 Welch Rd,","Palo Alto, CA 94304",,89,13,
1996,99,HUNTINGTON MEMORIAL HOSPITAL,100 W. California Blvd.,"Pasadena, CA 91105",,52,4,
1996,100,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 N. Garey Ave.,"Pomona, CA 97167",,50,7,
1996,101,EISENHOWER MEMORIAL HOSPITAL AT EISENHOWER MEDICAL,3900 Bob Hope Dr.,"Rancho Mirage, CA 92270",,8,NA,"Refer to Desert Hospital, Palm Springs"
1996,102,MERCY MEDICAL CENTER,Clairmont Height,"Redding, CA 96001",,6,1,
1996,103,REDLANDS COMMUNITY HOSPITAL,350 Terracina Blvd.,"Redlands, CA 92373",,8,NA,"Refer to Riverside Community Hospitat, Riverside"
1996,104,AMI SOUTH BAY HOSPITAL,514 N. Prospect Ave.,"Redondo Beach, CA 90277",,5,2,
1996,105,KAISER PERMANENTE MEDICAL CENTER - RIVERSIDE,10800 Magnolia Ave.,"Riverside, CA 92505",,8,1,
1996,106,PARKVIEW COMMUNITY HOSPITAL,3865 Jackson St.,"Riverside, CA 92503",,16,3,
1996,107,RIVERSIDE COMMUNITY HOSPITAL,4446 Magnolia Ave.,"Riverside, CA 92501",,13,2,
1996,108,RIVERSIDE GENERAL HOSPITAL UNIVERSITY MEDICAL CTR.,9851 Magnolia Ave.,"Riverside, CA 92503",,15,1,
1996,109,KAISER PERMANENTE MEDICAL CENTER - SACRAMENTO,2025 Morse Ave.,"Sacramento, CA 95825",,13,3,
1996,110,SUTTER MEMORIAL HOSPITAL,"5151 ""F"" St.","Sacramento, CA 95819",,60,5,
1996,111,UC DAVIS MEDICAL CENTER,2315 Stockton Blvd.,"Sacramento, CA 95817",,40,6,
1996,112,SAN BERNARDINO COMMUNITY HOSPITAL,"1805 Medical Center Dr,","San Bernardino, CA 92411",,5,NA,"Refer to Riverside Community Hospital, Riverside"
1996,113,SAN BERNARDINO COUNTY MEDICAL CENTER,"780 E, Gilbert St.","San Bernardino, CA 92415-0935",,10,NA,Refer to St. Bernardine Medical Center
1996,114,"ST. BERNARDINE MEDICAL CENTER,",2101 N. Waterman Ave.,"San Bernardino, CA 92404",,20,3,
1996,115,ALVARADO HOSPITAL MEDICAL CENTER,6655 Alvarado Rd.,"San Diego, CA 92120-2729",,6,1,
1996,116,CHILDREN'S HOSPITAL OF SAN DIEGO,"Division of Neonatology
3020 Children's Way, Ste. MC 5008","San Diego, CA 92123",,32,16,
1996,117,KAISER PERMANENTE MEDICAL CENTER - SAN DIEGO,4547 Zion Ave.,"San Diego, CA 92120",,35,4,
1996,118,MERCY HOSPITAL AND MEDICAL CENTER,4077 Fifth Ave.,"San Diego, CA 92103",,19,2,
1996,119,NAVAL MEDICAL CENTER,34800 Bob Wilson Dr.,"San Diego, CA 92134-5000",,24,4,
1996,120,SHARP MARY BIRCH MEMORIAL HOSPITAL FOR WOMEN,7901 Frost St.,"San Diego, CA 92123",,61,NA,Refer to Children's Hospital of San Diego
1996,121,UC SAN DIEGO MEDICAL CENTER _-,200 W. Arbor Dr.,"San Diego, CA 92103",,40,5,
1996,122,CALIFORNIA PACIFIC MEDICAL CENTER,3700 California St.,"San Francisco, CA 94118",,20,6,
1996,123,KAISER PERMANENTE MEDICAL CENTER - SAN FRANCISCO,2200 O'Farrell St.,"San Francisco, CA 94115",,19,5,
1996,124,ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL AND TRAUMA CENTER,1001 Potrero Ave.,"San Francisco, CA 94110",,25,4,
1996,125,ST. LUKE'S HOSPITAL,"3555 cesar Chavez st,","San Francisco, CA 94110",,6,1,
1996,126,SAN FRANCISCO MEDICAL CENTER,"Department of Pediatrics
PO. Box 0734","San  Francisco, CA 94143",,42,13,
1996,127,ALEXIAN BROTHERS HOSPITAL,"225 N. Jackson Ave,","Jose, CA 95116",,6,NA,Refer to Good Samaritan Hospital of Clara Valley
1996,128,GOOD SAMARITAN HOSPITAL OF SANTA CLARA VALLEY,9425 Samaritan Dr.,"San Jose, CA 96124",,23,6,
1996,129,KAISER PERMANENTE MEDICAL CENTER - SAN JOSE,250 Hospital Pky.,"San Jose, CA 95119",,7,1,
1996,130,O'CONNOR HOSPITAL,2705 Forest Ave.,"San Jose, CA 95128",,8,NA,Refer to Good Samaritan Hospital of Santa Clara Valley
1996,131,SAN JOSE MEDICAL CENTER,675 E. Santa Clara,"San Jose, CA 95112",,8,NA,Refer to Good Samaritan Hospital of Santa Clara Valley
1996,132,SANTA CLARA VALLEY MEDICAL CENTER,751 S. Bascom Ave.,"San Jose, CA 95128",,28,3,
1996,133,WESTERN MEDICAL CENTER,1001 N. Tustin Ave.,"Santa Ana, CA 92705",,8,5,
1996,134,SANTA BARBARA COTTAGE HOSPITAL,Pueblo at Bath Sts.,"Santa Barbara, CA 93102",,22,3,
1996,135,KAISER PERMANENTE MEDICAL CENTER - SANTA CLARA,900 Kiely Blvd.,"Santa Clara, CA 95051",,19,4,
1996,136,SANTA MONICA HOSPITAL MEDICAL CENTER,1250 16th St.,"Santa Monica, CA 90404",,12,4,
1996,137,ST. JOHN'S HOSPITAL AND HEALTH CENTER,1328 22nd St.,"Santa Monica, CA 90404",,14,NA,Refer to Santa Monica Hospital Center
1996,138,COMMUNITY HOSPITAL,3325 Chanale Rd.,"Santa Rosa, CA 95404",,10,3,
1996,139,DAMERON HOSPITAL,"525 W, Acacia St.","Stockton, CA 95203",,16,1,
1996,140,SAN JOAQUIN GENERAL HOSPITAL,P.O. Box 1020,"Stockton, CA 95201",,32,2,
1996,141,OLIVE VIEW MEDICAL CENTER,14445 Olive View Dr.,"Sylmar, CA 91342",,20,NA,"Refer to UCLA Medical Center, Los Angeles"
1996,142,ENCINO/TARZANA REGIONAL MEDICAL CENTER,18321 Clark St.,"Tarzana, CA 91356",,21,3,
1996,143,HARBOR-UCLA MEDICAL CENTER,"1000 W, Carson St, t","Torrance, CA 90500",,42,4,
1996,144,LITTLE COMPANY OF MARY HOSPITAL,4101 Torrance Blvd.,"Torrance, CA 90503",,12,3,
1996,145,TORRANCE MEMORIAL MEDICAL CENTER,"3330 Lomita Blyd,","Torrance, CA 90506",,12,5,
1996,146,SAN ANTONIO COMMUNITY HOSPITAL,999 San Bernardino Rd.,"Upland, CA 91784",,7,2,
1996,147,VALLEY PRESBYTERIAN HOSPITAL,"Neonatology
15107 Vanowen St, 2nd Floor","Van Nuys, CA 91405",,25,6,
1996,148,VENTURA COUNTY MEDICAL CENTER,3291 Loma Vista Rd.,"Ventura, CA 93003",,30,4,
1996,149,JOHN MUIR MEDICAL CENTER.,1601 Ygnacio Valley Rd.,"Walnut Creek, CA 94598",,13,2,
1996,150,KAISER PERMANENTE MEDICAL CENTER - WALNUT CREEK,1425 S. Main St.,"Walnut Creek, CA 94596",,15,3,
1996,151,QUEEN OF THE VALLEY HOSPITAL,"1115 S, Sunset Ave.","Covina, CA 91790",,22,7,
1996,152,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,"12401 Washington Blvd,",", CA 90602",,26,2,
1996,153,KAISER PERMANENTE MEDICAL CENTER - WOODLAND HILLS,5601 De Soto Ave.,"Woodland Hills, CA 91365",,18,4,
1996,154,AURORA PRESBYTERIAN HOSPITAL,700 Potomac St.,"Aurora, CO 80011",,10,NA,Refer to Presbylerian-St. Luke's Medical Center
1996,155,AURORA REGIONAL MEDICAL CENTER,1501 S. Potomac,"Aurora, CO 80012",,8,NA,"Refer to Children's Hospital, Denver"
1996,156,MEMORIAL HOSPITAL,1400 E. Boulder St.,"Colorado Springs, CO 80909",,54,3,
1996,157,CHILDREN'S HOSPITAL,"Box B070
1056 E. 19th Ave.","Denver, CO 80218",,20,14,
1996,158,DENVER GENERAL HOSPITAL,777 Bannock St.,"Denver, CO 80204",,10,2,
1996,159,PRESBYTERIAN-ST. LUKE'S MEDICAL CENTER,1719 E. 19th Ave.,"Denver, CO 80218",,46,6,
1996,160,PROVENANT ST. ANTHONY HOSPITAL CENTRAL,4231 W. 16th Ave.,"Denver, CO 80204",,10,NA,"Refer to Children's Hospital, Denver"
1996,161,ROSE MEDICAL CENTER,4567 E. Ninth Ave.,"Denver, CO 80220",,24,2,
1996,162,ST. JOSEPH HOSPITAL,4835 Franklin St.,"Denver, CO 80218",,39,9,
1996,163,UNIVERSITY OF COLORADO HEALTH SCIENCE CENTER,"Box B195
4200 E, Ninth Ave.","Denver, CO 80262",,24,2,"Refer to Children’s Hospital, Denver"
1996,164,SWEDISH MEDICAL CENTER,501 E. Hampden Ave./P.O. Box 6056,"Englewood, CO 80110",,15,2,
1996,165,ST. MARY'S HOSPITAL & MEDICAL CENTER,"P.O. Box 1628
7th St. & Patterson Rd.","Grand Junction, CO 81502-1628",,17,2,
1996,166,LITTLETON HOSPITAL PORTER,7700 S. Broadway,"Littleton, CO 80122",,10,NA,"Refer to Swedish Medical Center, Englewood"
1996,167,NORTH SUBURBAN MEDICAL CENTER,9191 Grant St.,"Thornton, CO 80229",,6,NA,"Refer to Children's Hospital, Denver"
1996,168,PROVENANT ST. ANTHONY HOSPITAL NORTH,"2551 W. 84th Ave,","2551 W. 84th Ave,",,8,NA,"Refer to Rose Medical Center, Denver"
1996,169,LUTHERAN MEDICAL CENTER,9300 W. 38th Ave.,"Wheat Ridge, CO 80033",,12,NA,"Refer to Children's Hospital, Denver"
1996,170,BRIDGEPORT HOSPITAL,267 Grant St.,"Bridgeport, CT 06610",,20,4,
1996,171,DANBURY HOSPITAL,24 Hospital Ave.,"Danbury, CT 06810",,12,2,
1996,172,UNIVERSITY OF CONNECTICUT HEALTH CENTER,Neonatal Division,"Farmington, CT 06030-2203",,47,7,
1996,173,HARTFORD HOSPITAL,80 Seymour St.,"Hartford, CT 06102-5037",,26,3,
1996,174,ST. FRANCIS HOSPITAL AND MEDICAL CENTER,114 Woodland St.,"Hartford, CT 06105",,18,3,
1996,175,NEW BRITAIN GENERAL HOSPITAL,100 Grand St.,"New Britain, CT 06050",,12,NA,
1996,176,CHILDREN'S HOSPITAL ATYALE NEW HAVEN,"P.O, Box 208064","New Haven, CT 06520-8064",,48,10,
1996,177,HOSPITAL OF ST. RAPHAEL,1450 Chapel St.,"New Haven, CT 06511",,8,1,
1996,178,LAWRENGE & MEMORIAL HOSPITAL,365 Montauk Ave.,"New London, CT 06320",,12,3,
1996,179,NORWALK HOSPITAL “,Maple St.,"Norwalk, CT 06856",,18,5,
1996,180,STAMFORD HOSPITAL VY,90 W. Broad St.,"Stamford, CT 06902",,12,3,
1996,181,KENT GENERAL HOSPITAL,640 S. State St.,"Dover, DE 19901",,6,2,
1996,182,CHRISTIANA HOSPITAL MEDICAL CENTER OF DELAWARE,4755 Ogletown-Santon Rd.,"Newark, DE 19718",,48,5,
1996,183,,"ALFORD 1. DUPONT INSTITUTE
1600 Rockland Rd.","Wilmington, DE 19803",,6,4,
1996,184,ST. FRANCIS HOSPITAL,7th & Clayton Sts.,"Wilmington, DE 19805",,2,2,
1996,185,CHILDREN'S NATIONAL MEDICAL CENTER,"111 Michigan Ave., N.W. .","Washington, DC 20010-2916",,40,6,
1996,186,COLUMBIA HOSPITAL FOR WOMEN MEDICAL CENTER,"2425 ""L"" St. N.W.","Washington, DC 20037",,35,5,
1996,187,DISTRICT OF COLUMBIA GENERAL HOSPITAL,"1900 Massachusetts Ave, S.E.","Washington, DC 20003",,15,3,
1996,188,GEORGE WASHINGTON UNIVERSITY HOSPITAL,901 23rd St. N.W.,"Washington, DC 20037",,18,4,
1996,189,"GEORGETOWN UNIVERSITY HOSPITAL,",3800 Reservoir Rd. N.W.,"Washington, DC 20007",,44,8,
1996,190,HOWARD UNIVERSITY HOSPITAL,"2041 Georgia Ave, N.W,","Washington, DC 20060",,25,3,
1996,191,PROVIDENCE HOSPITAL,1150 Varnum St. N.E.,"Washington, DC 20017",,9,2,
1996,192,WALTER REED ARMY MEDICAL BY CENTER,Department of Pediatrics,"Washington, DC 20307-5001",,16,NA,"Refer to Uniform Services University of Health Science, Bethesda, MD"
1996,193,WASHINGTON HOSPITAL CENTER,"110 Irving St. NW, #5B-17","Washington, DC 20010-2975",,20,7,
1996,194,BOCA RATON COMMUNITY HOSPITAL,"Pediatrix Medical Group, Inc.
800 Meadows Rd.","Boca Raton, FL 33486",,8,3,
1996,195,WEST BOCA MEDICAL CENTER,21644 State Road 7,"Boca Raton, FL 33428",,12,4,
1996,196,BETHESDA MEMORIAL HOSPITAL,2815 S. Seacrest Blvd.,"Boynton Beach, FL 33435",,12,5,
1996,197,MANATEE MEMORIAL HOSPITAL,206 Second St. E.,"Bradenton, FL 34208",,6,2,
1996,198,MORTON PLANT HOSPITAL,3232 Jeffords St.,"- Clearwater, FL 34617",,10,4,
1996,199,HEALTHSOUTH DOCTOR'S HOSPITAL,"5000 University Or,","Coral Gables, FL 33146",,10,3,
1996,200,CORAL SPRINGS MEDICAL CENTER,3000 Coral Hill Dr.,"Coral Springs, Fl. 33065",,16,4,
1996,201,HALIFAX MEDICAL CENTER,303 N. Clyde Morris Rd.,"Daytona Beach, FL 32114",,9,1,
1996,202,MEASE HOSPITAL DUNEDIN,601 Main St.,"Dunedin, FL 34697",,10,3,
1996,203,BROWARD GENERAL MEDICAL CENTER,1600 S. Andrews Ave.,"Ft. Lauderdale, FL 33316",,65,6,
1996,204,HOLY CROSS HOSPITAL,4725 N. Federal Hwy.,"Ft. Lauderdale, FL 33308",,9,2,
1996,205,LEE MEMORIAL HOSPITAL,9981 Health Park Circle #281,"Ft, Myers, FL 33908",,48,4,
1996,206,LAWNWOOD REGIONAL MEDICAL CENTER,1700 S. 17th St.,"Ft. Pierce, FL 34950",,10,2,
1996,207,ALACHUA GENERAL HOSPITAL,801 S.W. Second Ave.,"Gainesville, FL 32601",,9,2,
1996,208,UNIVERSITY OF FLORIDA,"Department of Pediatrics
JHMHC Box 100296","Gainesville, FL 32610",,50,10,
1996,209,JOE DI MAGGIO CHILDREN'S HOSP. AT MEMORIAL HOSP.,3501 Johnson St.,"Hollywood, Fi. 33021",,29,6,
1996,210,MEMORIAL MEDICAL CENTER,"3625 University Blvd., S.","Jacksonville, FL 32216",,10,NA,Refer to University Medical Center
1996,211,ST. VINCENT'S MEDICAL CENTER,P.O. Box 2982,"Jacksonville, FL 32203",,10,NA,Refer to University Medical Center
1996,212,UNIVERSITY MEDICAL CENTER,655 W. Eighth St.,"Jacksonville, FL 32209",,35,13,
1996,213,WOLFSON CHILDREN'S HOSPITAL,800 Prudential Dr.,"Jacksonville, FL 32207",,46,NA,"Refer to University Medical Center, ~ Jacksonville"
1996,214,LAKELAND REGIONAL MEDICAL CENTER,"P.O, Box 95448
1324 Lakeland Hills Blvd.","Lakeland, FL 33804",,18,1,
1996,215,HOLMES REGIONAL MEDICAL CENTER,1350 S. Hickory St.,"Melbourne, FL 32901",,20,2,
1996,216,BAPTIST HOSPITAL OF MIAMI,8900 N. Kendall Dr.,"Miami, FL 33176",,12,1,Refer to Miami Children's Hospital
1996,217,MERCY HOSPITAL,3663 S. Miami Ave.,"Miami, FL 33133",,NA,NA,Refer to Miami Children’s Hospital
